full name,title,qualifications,primary specialty,practice areas,regions covered,photo url,source url,bio
Mr Theo Manias,Consultant Obstetrician and Gynaecologist,Consultant Obstetrician and Gynaecologist,Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2023/07/Theo_Manias__007_Grey_crop.jpg,https://www.mccollumconsultants.com/expert-witness/theo-manias-consultant-obstetrician-gynaecologist/,"Consultant Obstetrician and Gynaecologist, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Endometriosis, Labour, Miscarriage, Pre-eclampsia. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Mr Matthew Izett-Kay,Consultant Gynaecologist (Urogynaecology),Consultant Gynaecologist (Urogynaecology),Personal Injury,Personal Injury; Clinical Negligence,South East,https://www.mccollumconsultants.com/wp-content/uploads/2023/02/Izett-kay_edit_2s-1-e1675942071909.jpg,https://www.mccollumconsultants.com/expert-witness/matthew-izett-kay/,"Consultant Gynaecologist (Urogynaecology), providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Urogynaecology, Pelvic Floor, Birth Trauma, Mesh Injury, Urinary Incontinence. Covers South East. Listing sourced from McCollum Consultants; awaiting claim and verification."
Mr Daniel Stott,Honorary Associate Professor (UCL),"Consultant in Obstetrics and Maternal-Fetal Medicine, Honorary Associate Professor (UCL)",Personal Injury,Personal Injury; Clinical Negligence,London,https://www.mccollumconsultants.com/wp-content/uploads/2024/05/Dan_Stott_001_CG.jpg,https://www.mccollumconsultants.com/expert-witness/daniel-stott/,"Honorary Associate Professor (UCL), providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Fetal Medicine, Maternal Medicine, Antenatal Screening, Pre-eclampsia, Gestational Diabetes. Covers London. Listing sourced from McCollum Consultants; awaiting claim and verification."
Dr Ben Pope,Consultant in Emergency Medicine & Same Day Emergency Care,Consultant in Emergency Medicine & Same Day Emergency Care,Personal Injury,Personal Injury; Clinical Negligence,East Midlands,https://www.mccollumconsultants.com/wp-content/uploads/2026/04/Ben_Pope_LG.jpg,https://www.mccollumconsultants.com/expert-witness/ben-pope/,"Consultant in Emergency Medicine & Same Day Emergency Care, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Advanced Life Support, Clinical Risk, Fractures, Major Trauma, Polytrauma, Resuscitation. Covers East Midlands. Listing sourced from McCollum Consultants; awaiting claim and verification."
Dr David Hodgson,Consultant in Emergency Medicine,Consultant in Emergency Medicine,Personal Injury,Personal Injury; Clinical Negligence,Wales; Scotland; Nationwide,https://www.mccollumconsultants.com/wp-content/uploads/2026/04/David_Hodgson_CG.jpg,https://www.mccollumconsultants.com/expert-witness/david-hodgson/,"Consultant in Emergency Medicine, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Acute Internal Medicine, Advanced Life Support, Airway Management, Cardiac Arrest, Pain Management, Sepsis. Covers Wales, Scotland, Nationwide. Listing sourced from McCollum Consultants; awaiting claim and verification."
Dr Sam Thenabadu,Consultant in Adult & Paediatric Emergency Medicine,Consultant in Adult & Paediatric Emergency Medicine,Personal Injury,Personal Injury; Clinical Negligence,London,https://www.mccollumconsultants.com/wp-content/uploads/2025/07/Sam-T-BW-2024_LG.jpg,https://www.mccollumconsultants.com/expert-witness/sam-thenabadu/,"Consultant in Adult & Paediatric Emergency Medicine, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Cardiac Arrest, Major Trauma, Paediatric Emergency Medicine, Pre-Hospital Care, Sepsis, Sudden Cardiac Arrest. Covers London. Listing sourced from McCollum Consultants; awaiting claim and verification."
Professor David Metcalfe,Consultant in Emergency Medicine,Consultant in Emergency Medicine,Personal Injury,Personal Injury; Clinical Negligence,South East,https://www.mccollumconsultants.com/wp-content/uploads/2025/07/Metcalfe-copy-CG-1.jpg,https://www.mccollumconsultants.com/expert-witness/david-metcalfe/,"Consultant in Emergency Medicine, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Aortic Dissection, Cardiac Arrest, Cauda Equina Syndrome, Compartment Syndrome, Critical Illness, Head Injury. Covers South East. Listing sourced from McCollum Consultants; awaiting claim and verification."
Dr Ian Tyrrell-Marsh,Consultant in Pre-Hospital Care,Consultant in Pre-Hospital Care,Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2025/01/Ian_Tyrell_Marsh_00_CG.jpg,https://www.mccollumconsultants.com/expert-witness/ian-tyrrell-marsh-pre-hospital-care/,"Consultant in Pre-Hospital Care, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Anaesthesia, Cardiac Arrest, Critical Care, Medical Assessment, Pre-Hospital Care, Trauma Assessment. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Professor Bijayendra Singh,Consultant Orthopaedic Surgeon,"Consultant Orthopaedic Surgeon, FRCS (Tr & Ortho), FRCS, PG Dip (Tr & Ortho), MS (Ortho), DNB (Ortho)",Personal Injury,Personal Injury; Clinical Negligence,South East,https://scoop-cms.s3-eu-west-1.amazonaws.com/55dd7640ca2f3ade448b457d/experts/67d1714ca134b7729861f0d4/files/new-singh.jpg,https://www.expertwitness.co.uk/expert/67d1714ca134b7729861f0d4,"Consultant Orthopaedic Surgeon, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Upper Limb Conditions, Trauma Surgery, Joint Replacements, Shoulder/Elbow/Wrist/Hand Disorders, Arthroscopic Surgery. Covers South East. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Mr Shyam A J Kumar,Consultant Trauma and Orthopaedic Surgeon,"Consultant Trauma and Orthopaedic Surgeon, FRCS (Tr & Ortho) 2009, FRCS Ed 2002, LLM Medical Law & Ethics",Personal Injury,Personal Injury; Clinical Negligence,North West; Nationwide,https://scoop-cms.s3-eu-west-1.amazonaws.com/55dd7640ca2f3ade448b457d/experts/66f28baf557c93325d091c12/files/shyamkumar.png,https://www.expertwitness.co.uk/expert/66f28baf557c93325d091c12,"Consultant Trauma and Orthopaedic Surgeon, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Upper Limb Surgery, Orthopaedic Trauma Care. Covers North West, Nationwide. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Dr Renee Hoenderkamp,,Portfolio GP,Personal Injury,Personal Injury; Clinical Negligence,London,https://scoop-cms.s3-eu-west-1.amazonaws.com/55dd7640ca2f3ade448b457d/experts/69c664487d681e596e4b0bf2/files/headshot.jpg,https://www.expertwitness.co.uk/expert/69c664487d681e596e4b0bf2,"Medico-legal expert, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: General Practice. Covers London. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Dr Mohammad Anis Dosani,,Trauma and Orthopaedics Expert,Personal Injury,Personal Injury; Clinical Negligence,London; West Midlands; East Midlands; Yorkshire and the Humber; North West; Wales; Scotland; Nationwide,https://scoop-cms.s3-eu-west-1.amazonaws.com/55dd7640ca2f3ade448b457d/experts/65b77e8543828818af322513/files/dosani.jpg,https://www.expertwitness.co.uk/expert/65b77e8543828818af322513,"Medico-legal expert, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Trauma and Orthopaedic Surgery. Covers London, West Midlands, East Midlands, Yorkshire and the Humber, North West, Wales, Scotland, Nationwide. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Mrs Sally-Anne Pygall,Expert in GP and Nursing Telephone Triage,Expert in GP and Nursing Telephone Triage,Personal Injury,Personal Injury; Clinical Negligence,North East; Nationwide,,https://www.expertwitness.co.uk/expert/6a904aa755041802740c1e92,"Expert in GP and Nursing Telephone Triage, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Telephone Triage, Nursing. Covers North East, Nationwide. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Mr Gerard Cronin,,Nursing Expert,Personal Injury,Personal Injury; Clinical Negligence,East of England; Nationwide,https://scoop-cms.s3-eu-west-1.amazonaws.com/55dd7640ca2f3ade448b457d/experts/5763c808ca2f3af2228b630a/files/cronin-photo2.jpg,https://www.expertwitness.co.uk/expert/5763c808ca2f3af2228b630a,"Medico-legal expert, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Nursing. Covers East of England, Nationwide. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Dr Jeremy Platt,General Practitioner,General Practitioner,Personal Injury,Personal Injury; Clinical Negligence,South East,,https://www.expertwitness.co.uk/expert/5763c7f4ca2f3af2228b5ff1,"General Practitioner, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: General Practice. Covers South East. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Dr Ashley M Croft,Consultant Public Health Physician - Medical Epidemiologist,Consultant Public Health Physician - Medical Epidemiologist,Personal Injury,Personal Injury; Clinical Negligence,London; Scotland; Nationwide,https://scoop-cms.s3-eu-west-1.amazonaws.com/55dd7640ca2f3ade448b457d/experts/5763c79dca2f3af2228b470b/files/dr-ashley.jpg,https://www.expertwitness.co.uk/expert/5763c79dca2f3af2228b470b,"Consultant Public Health Physician - Medical Epidemiologist, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Public Health, Medical Epidemiology. Covers London, Scotland, Nationwide. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Dr Sam Creavin,GP with diagnostic expertise,GP with diagnostic expertise,Personal Injury,Personal Injury; Clinical Negligence,South West,https://scoop-cms.s3-eu-west-1.amazonaws.com/55dd7640ca2f3ade448b457d/experts/6777f266b1b037761a48ac42/files/dr-sam-creavin-1.jpg,https://www.expertwitness.co.uk/expert/6777f266b1b037761a48ac42,"GP with diagnostic expertise, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: General Practice, Diagnostics. Covers South West. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Dr Samah Boulis,Experienced GP and Senior Clinical Navigator,Experienced GP and Senior Clinical Navigator,Personal Injury,Personal Injury; Clinical Negligence,London; Scotland; Northern Ireland,https://scoop-cms.s3-eu-west-1.amazonaws.com/55dd7640ca2f3ade448b457d/experts/6932cf4cf75bd82d56778573/files/expert-witness-photo.png,https://www.expertwitness.co.uk/expert/6932cf4cf75bd82d56778573,"Experienced GP and Senior Clinical Navigator, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: General Practice. Covers London, Scotland, Northern Ireland. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Mr Aruni Sen,Consultant in Accident and Emergency,Consultant in Accident and Emergency,Personal Injury,Personal Injury; Clinical Negligence,North West; Wales,,https://www.expertwitness.co.uk/expert/5763c7b6ca2f3af2228b52a7,"Consultant in Accident and Emergency, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Emergency Medicine. Covers North West, Wales. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Dr Katie Benge,GP and Menopause Specialist,GP and Menopause Specialist,Personal Injury,Personal Injury; Clinical Negligence,West Midlands; Nationwide,https://scoop-cms.s3-eu-west-1.amazonaws.com/55dd7640ca2f3ade448b457d/experts/698c9b018d194c23ed238512/files/head-shot.jpg,https://www.expertwitness.co.uk/expert/698c9b018d194c23ed238512,"GP and Menopause Specialist, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: General Practice, Menopause. Covers West Midlands, Nationwide. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
Dr Asma Naqi,General Practitioner,General Practitioner,Personal Injury,Personal Injury; Clinical Negligence,East of England; Wales,,https://www.expertwitness.co.uk/expert/6aabb1be48c735517d275812,"General Practitioner, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Complex and Evolving Presentations, Clinical Chronology, Primary and Secondary Care Pathways, Women's Health. Covers East of England, Wales. Listing sourced from ExpertWitness.co.uk; awaiting claim and verification."
