metres,bucket,slug,name,address,postcode,town,storedLat,storedLng,postcodeLat,postcodeLng
2711,wrong area,renew-glow-clinic,Renew Glow Clinic,"131 Union Rd, Shirley, Solihull B90 3BZ, United Kingdom",B90 3BZ,Solihull,52.411811,-1.77761,52.404758,-1.815873
2698,wrong area,dr-bruno-silva-neuropsychiatrist-brain-matters,Dr Bruno Silva Neuropsychiatrist Brain Matters,"Brain Matters, Radclyffe House, 66-68 Hagley Rd, Birmingham B16 8PF, United Kingdom",B16 8PF,Birmingham,52.4822694,-1.8900078,52.471719,-1.925888
2664,wrong area,mr-amit-parmar-ent,Mr Amit Parmar ENT,"Highfield Clinic, 23A Highfield Rd, Birmingham B15 3DP, United Kingdom",B15 3DP,Birmingham,52.4822694,-1.8900078,52.469281,-1.923066
2664,wrong area,mr-jonathan-fussey-ent,Mr Jonathan Fussey ENT,"Highfield Clinic, 23A Highfield Rd, Birmingham B15 3DP, United Kingdom",B15 3DP,Birmingham,52.4822694,-1.8900078,52.469281,-1.923066
2664,wrong area,dr-grisham-smotra-gynaecology,Dr Grisham Smotra Gynaecology,"Highfield Clinic, 23a Highfield Rd, Edgbaston, Birmingham B15 3DP, United Kingdom",B15 3DP,Birmingham,52.4822694,-1.8900078,52.469281,-1.923066
2664,wrong area,dr-kausik-das-gynaecology,Dr Kausik Das Gynaecology,"Highfield Clinic, 23a Highfield Rd, Edgbaston, Birmingham B15 3DP, United Kingdom",B15 3DP,Birmingham,52.4822694,-1.8900078,52.469281,-1.923066
2664,wrong area,dr-christos-kasparis,Dr Christos Kasparis,"Midland Health, 23a Highfield Rd, Birmingham B15 3DP, United Kingdom",B15 3DP,Birmingham,52.4822694,-1.8900078,52.469281,-1.923066
2664,wrong area,ihya-house-of-aesthetics,Ihya House of Aesthetics,"25 Highfield Rd, Edgbaston, Birmingham B15 3DP, United Kingdom",B15 3DP,Birmingham,52.4822694,-1.8900078,52.469281,-1.923066
2664,wrong area,sarah-barker-speech-and-language-therapist,Sarah Barker Speech and Language Therapist,"Highfield Clinic, 23A Highfield Rd, Birmingham B15 3DP, United Kingdom",B15 3DP,Birmingham,52.4822694,-1.8900078,52.469281,-1.923066
2662,wrong area,jude-scott-intuitive-living,Jude Scott - Intuitive Living,"113 Reservoir Rd, Solihull B92 8AW, United Kingdom",B92 8AW,Solihull,52.411811,-1.77761,52.433366,-1.794677
2631,wrong area,dr-knowles-aesthetics,Dr Knowles Aesthetics,"21 Rotton Park St, Birmingham B16 0AE, United Kingdom",B16 0AE,Birmingham,52.4822694,-1.8900078,52.482419,-1.928859
2600,wrong area,wolverhampton-ms-therapy-centre,Wolverhampton MS Therapy Centre,"Tettenhall Rd, Wolverhampton WV6 0JT, United Kingdom",WV6 0JT,Wolverhampton,52.5868159,-2.1256587,52.596431,-2.160736
2586,wrong area,la-skin-laser-clinic,LA Skin Laser Clinic,"38 Calthorpe Rd, Birmingham B15 1TS, United Kingdom",B15 1TS,Birmingham,52.4822694,-1.8900078,52.468875,-1.921226
2586,wrong area,edgbaston-smile-clinic-birmingham-dentist,Edgbaston Smile Clinic - Birmingham Dentist,"43 Calthorpe Rd, Birmingham B15 1TS, United Kingdom",B15 1TS,Birmingham,52.4822694,-1.8900078,52.468875,-1.921226
2586,wrong area,ora-dental,Ora Dental,"43 Calthorpe Rd, Edgbaston, Birmingham B15 1TS, United Kingdom",B15 1TS,Birmingham,52.4822694,-1.8900078,52.468875,-1.921226
2586,wrong area,fresh-aesthetics,Fresh Aesthetics,"7 Elmdon Coppice, Solihull B92 0PL, United Kingdom",B92 0PL,Solihull,52.411811,-1.77761,52.430856,-1.755713
2578,wrong area,edgbaston-wellness-clinic,Edgbaston Wellness Clinic,"11 Greenfield Cres, Birmingham B15 3AU, United Kingdom",B15 3AU,Birmingham,52.4822694,-1.8900078,52.469874,-1.922181
2572,wrong area,phinity-therapy-psychotherapy-counselling-birmingham,Phinity Therapy - Psychotherapy Counselling Birmingham,"95 Hagley Rd, Birmingham B16 8LA, United Kingdom",B16 8LA,Birmingham,52.4822694,-1.8900078,52.472419,-1.92437
2545,wrong area,doll-aesthetics,DOLL AESTHETICS,"Bredon House, 321 Tettenhall Rd, Tettenhall, Wolverhampton WV6 0JZ, United Kingdom",WV6 0JZ,Wolverhampton,52.5868159,-2.1256587,52.596711,-2.15963
2545,wrong area,sonia-dale-clinic,Sonia Dale Clinic,"337 Tettenhall Rd, Tettenhall, Wolverhampton WV6 0JZ, United Kingdom",WV6 0JZ,Wolverhampton,52.5868159,-2.1256587,52.596711,-2.15963
2544,wrong area,mel-riley,Mel Riley,"Laburnum Rd, Stow Heath, Wolverhampton WV1 2TJ, United Kingdom",WV1 2TJ,Wolverhampton,52.5868159,-2.1256587,52.576322,-2.092193
2492,wrong area,beautoxology,beautoxology,"295 - 297 Newbridge Cres, Tettenhall Rd, Tettenhall, Wolverhampton WV6 0LB, United Kingdom",WV6 0LB,Wolverhampton,52.5868159,-2.1256587,52.596424,-2.158994
2484,wrong area,mr-p-holden-wolverhampton-dental,Mr P Holden - Wolverhampton Dental,"21 Raynor Rd, Wolverhampton WV10 9QU, United Kingdom",WV10 9QU,Wolverhampton,52.5868159,-2.1256587,52.60586,-2.10643
2484,wrong area,wolverhampton-dental,Wolverhampton Dental,"21 Raynor Rd, Wolverhampton WV10 9QU, United Kingdom",WV10 9QU,Wolverhampton,52.5868159,-2.1256587,52.60586,-2.10643
2471,wrong area,midlands-womens-health,Midlands Womens Health,"20 Calthorpe Rd, Birmingham B15 1RP, United Kingdom",B15 1RP,Birmingham,52.4822694,-1.8900078,52.469414,-1.919768
2462,wrong area,hydrafacial-birmingham,HydraFacial Birmingham,"Edgbaston Medical Village, 48 Calthorpe Rd, Birmingham B15 1TH, United Kingdom",B15 1TH,Birmingham,52.4822694,-1.8900078,52.470151,-1.920429
2462,wrong area,earwax-specialist,Earwax Specialist,"51-52 Calthorpe Rd, Birmingham B15 1TH, United Kingdom",B15 1TH,Birmingham,52.4822694,-1.8900078,52.470151,-1.920429
2462,wrong area,border-line-personality-disorder-birmingham,Border Line Personality Disorder Birmingham,"Quadrant Court, 51-52 Calthorpe Rd, Birmingham B15 1TH, United Kingdom",B15 1TH,Birmingham,52.4822694,-1.8900078,52.470151,-1.920429
2462,wrong area,dr-faisal-mir-bsc-hons-dclinpsych,"Dr Faisal Mir Bsc Hons, DClinPsych","Quadrant Court, 52 Calthorpe Rd, Birmingham B15 1TH, United Kingdom",B15 1TH,Birmingham,52.4822694,-1.8900078,52.470151,-1.920429
2462,wrong area,natasha-williams-therapy,Natasha Williams Therapy,"Suite 9, Quadrant Court, 51/52 Calthorpe Rd, Birmingham B15 1TH, United Kingdom",B15 1TH,Birmingham,52.4822694,-1.8900078,52.470151,-1.920429
2462,wrong area,qaya-clinic-prp-prf-microneedling-hydrafacial-hijama-cupping-lymphatic-massage-vampire-facial-birmingham,"Qaya Clinic - PRP, PRF, Microneedling, HydraFacial, Hijama Cupping, Lymphatic Massage, Vampire Facial Birmingham","48 Calthorpe Rd, Birmingham B15 1TH, United Kingdom",B15 1TH,Birmingham,52.4822694,-1.8900078,52.470151,-1.920429
2462,wrong area,restore-harmony,Restore Harmony,"49, Quadrant Court, Calthorpe Rd, Edgbaston, Birmingham B15 1TH, United Kingdom",B15 1TH,Birmingham,52.4822694,-1.8900078,52.470151,-1.920429
2462,wrong area,working-minds-uk,Working Minds UK,"Quadrant Court, 49 Calthorpe Rd, Birmingham B15 1TH, United Kingdom",B15 1TH,Birmingham,52.4822694,-1.8900078,52.470151,-1.920429
2461,wrong area,soul-2-soul-counselling-and-holistic-therapies,Soul 2 Soul Counselling and Holistic Therapies,"Fifth Ave, Wolverhampton WV10 9JX, United Kingdom",WV10 9JX,Wolverhampton,52.5868159,-2.1256587,52.607705,-2.113626
2460,wrong area,schon-aesthetic-clinic-birmingham,Schon Aesthetic Clinic Birmingham,"83-85 Hagley Rd, Birmingham B16 8QG, United Kingdom",B16 8QG,Birmingham,52.4822694,-1.8900078,52.472526,-1.922618
2379,wrong area,aesthetics-hair,Aesthetics Hair,"347 Warwick Rd, Solihull B91 1BQ, United Kingdom",B91 1BQ,Solihull,52.411811,-1.77761,52.429272,-1.797873
2364,wrong area,finest-touch-cosmetic-enhancement-clinic,Finest Touch Cosmetic Enhancement Clinic.,"206 Hordern Rd, Wolverhampton WV6 0HA, United Kingdom",WV6 0HA,Wolverhampton,52.5868159,-2.1256587,52.600028,-2.153087
2311,wrong area,broadway-dental-suite,Broadway Dental Suite,"25 Cope St, Birmingham B18 7BA, United Kingdom",B18 7BA,Birmingham,52.4822694,-1.8900078,52.482794,-1.924117
2305,wrong area,khd-aesthetics,KHD Aesthetics,"22 George Rd, Birmingham B15 1PJ, United Kingdom",B15 1PJ,Birmingham,52.4822694,-1.8900078,52.468665,-1.915677
2301,wrong area,adrian-thomas-soft-tissue-therapy,Adrian Thomas Soft Tissue Therapy,"Edgbaston Quaker Meeting House, 11 St James Rd, Birmingham B15 1JP, United Kingdom",B15 1JP,Birmingham,52.4822694,-1.8900078,52.469267,-1.916442
2254,wrong area,coventry-road-dental,Coventry Road Dental,"410 Coventry Rd, Small Heath, Birmingham B10 0UF, United Kingdom",B10 0UF,Birmingham,52.4822694,-1.8900078,52.471356,-1.861969
