from,to,status,reason
/chiropractor/mr-joseph-abbott,/specialists/mr-joseph-abbott,301,live listing
/coventry-uk/dentistry/dr-r-osman-cheylesmore-dental-practice,/specialists/dr-r-osman-cheylesmore-dental-practice,301,live listing
/coventry-uk/dentistry/shergill-dental-implants,/specialists/shergill-dental-implants,301,live listing
/coventry-uk/dentistry/the-coventry-warwickshire-centre-for-advanced-dentistry,/specialists/the-coventry-warwickshire-centre-for-advanced-dentistry,301,live listing
/coventry-uk/dentistry/the247dentist-coventry,/specialists/the247dentist-coventry,301,live listing
/coventry-uk/gynaecology/university-hospital-coventry-and-warwickshire-gynaecology,/facilities/university-hospital-coventry-and-warwickshire,301,became a facility
/coventry-uk/psychologist/coventry-counselling-and-wellbeing,/specialists/coventry-counselling-and-wellbeing,301,live listing
/coventry-uk/psychologist/coventry-counselling-psychotherapy,/specialists/coventry-counselling-psychotherapy,301,live listing
/coventry-uk/psychologist/coventry-warwickshire-and-solihull-nhs-talking-therapies,/specialists/coventry-warwickshire-and-solihull-nhs-talking-therapies,301,live listing
/coventry-uk/psychologist/elite-therapy-coventry-physiotherapy,/specialists/elite-therapy-coventry-physiotherapy,301,live listing
/coventry-uk/psychologist/the-park-counselling-centre,/specialists/the-park-counselling-centre,301,live listing
/eastleigh/therapeutics-southampton-ltd,/search?location=Eastleigh,301,not imported — town only
/edinburgh/the-physiotherapy-clinics,/search?location=Edinburgh,301,not imported — town only
/england/anaesthetist-general-medicine-doctor-orthopaedic-surgeon-pain-management-specialist/dr-piotr-buczkowski,/specialists/dr-piotr-buczkowski,301,live listing
/england/buckhurst-hill/ent-surgeon/anurag-jain,/specialists/anurag-jain,301,live listing
/england/buckhurst-hill/ent-surgeon/vik-veer,/specialists/vik-veer,301,live listing
/england/ent-surgeon/mr-david-wynne,/specialists/mr-david-wynne,301,live listing
/england/ent-surgeon/ms-natalie-turner,/specialists/ms-natalie-turner,301,live listing
/england/ent-surgeon/ms-sangi-patel,/specialists/ms-sangi-patel,301,live listing
/england/general-practioners/dr-stephen-lewis,/specialists/dr-stephen-lewis,301,live listing
/england/general-practioners/miss-jane-grey,/search?specialty=general-practice&location=London,301,not imported — specialty and town
/england/general-practioners/mr-andy-marshall,/search?specialty=general-practice&location=London,301,not imported — specialty and town
/england/general-practioners/mr-grahame-taylor,/search?specialty=general-practice&location=Leicester,301,not imported — specialty and town
/england/general-practioners/mr-jonathan-lewis,/search?specialty=general-practice&location=London,301,not imported — specialty and town
/england/general-practioners/mr-michael-guard,/search?specialty=general-practice&location=Godalming,301,not imported — specialty and town
/england/general-practioners/mrs-nicky-turner,/search?specialty=general-practice&location=London,301,not imported — specialty and town
/england/general-practioners/·helen-cole,/search?specialty=general-practice&location=London,301,not imported — specialty and town
/england/gynaecology/mr-benjamin-davis,/specialists/mr-benjamin-davis,301,live listing
/england/gynaecology/ms-clare-spencer,/specialists/ms-clare-spencer,301,live listing
/england/halsall/orthopaedics/marcus-cope,/specialists/marcus-cope,301,live listing
/england/harrow/gynaecology/stewart-disu,/specialists/stewart-disu,301,live listing
/england/harrow/orthopaedics/rupen-dattani,/specialists/rupen-dattani,301,live listing
/england/ilford/ent-surgeon/gaurav-kumar,/specialists/gaurav-kumar,301,live listing
/england/kingston-upon-thames/ent-surgeon/behrad-elmiyeh,/specialists/behrad-elmiyeh,301,live listing
/england/kingston-upon-thames/ent-surgeon/enyi-ofo,/specialists/enyi-ofo,301,live listing
/england/kingston-upon-thames/ent-surgeon/parag-patel,/specialists/parag-patel,301,live listing
/england/kingston-upon-thames/orthopaedics/nashat-siddiqui,/specialists/nashat-siddiqui,301,live listing
/england/kingston-upon-thames/orthopaedics/palanisamy-ramesh,/specialists/palanisamy-ramesh,301,live listing
/england/london/ent-surgeon/alwyn-d-souza,/specialists/alwyn-d-souza,301,live listing
/england/london/ent-surgeon/ananth-vijendren,/specialists/ananth-vijendren,301,live listing
/england/london/ent-surgeon/asit-arora,/specialists/asit-arora,301,live listing
/england/london/ent-surgeon/cheka-spencer,/specialists/cheka-spencer,301,live listing
/england/london/ent-surgeon/irfan-syed,/specialists/irfan-syed,301,live listing
/england/london/ent-surgeon/javier-moraleda,/specialists/javier-moraleda,301,live listing
/england/london/ent-surgeon/kalpesh-patel,/specialists/kalpesh-patel,301,live listing
/england/london/ent-surgeon/max-whittaker,/specialists/max-whittaker,301,live listing
/england/london/ent-surgeon/mohiemen-anwar,/specialists/mohiemen-anwar,301,live listing
/england/london/ent-surgeon/pavol-surda,/specialists/pavol-surda,301,live listing
/england/london/ent-surgeon/prince-modayil,/specialists/prince-modayil,301,live listing
/england/london/ent-surgeon/raghav-dwivedi,/specialists/raghav-dwivedi,301,live listing
/england/london/ent-surgeon/ravinder-s-natt,/specialists/ravinder-s-natt,301,live listing
/england/london/ent-surgeon/s-alam-hannan,/specialists/s-alam-hannan,301,live listing
/england/london/ent-surgeon/safina-ali,/specialists/safina-ali,301,live listing
/england/london/ent-surgeon/samit-unadkat,/specialists/samit-unadkat,301,live listing
/england/london/ent-surgeon/tony-jacob,/specialists/tony-jacob,301,live listing
/england/london/ent-surgeon/zaid-awad,/specialists/zaid-awad,301,live listing
/england/london/general-practioners/angela-rai,/specialists/angela-rai,301,live listing
/england/london/general-practioners/catrin-bevan,/specialists/catrin-bevan,301,live listing
/england/london/general-practioners/elise-dallas,/specialists/elise-dallas,301,live listing
/england/london/general-practioners/john-stephens,/specialists/john-stephens,301,live listing
/england/london/general-practioners/katy-kasraie,/specialists/katy-kasraie,301,live listing
/england/london/general-practioners/kirsty-schmidt,/search?specialty=general-practice&location=25%20Harley%20St,301,not imported — specialty and town
/england/london/general-practioners/lawen-muheden,/specialists/lawen-muheden,301,live listing
/england/london/general-practioners/natasha-thandrayen,/search?specialty=general-practice&location=25%20Harley%20St,301,not imported — specialty and town
/england/london/general-practioners/nick-sawyer,/specialists/nick-sawyer,301,live listing
/england/london/general-practioners/sam-bennett,/specialists/sam-bennett,301,live listing
/england/london/general-practioners/sera-shoukru,/specialists/sera-shoukru,301,live listing
/england/london/general-practioners/shaima-villait,/specialists/shaima-villait,301,live listing
/england/london/general-practioners/stuart-sanders,/search?specialty=general-practice&location=114A%20Harley%20St,301,not imported — specialty and town
/england/london/general-practioners/vanessa-eisman,/search?specialty=general-practice&location=15-17%20Lodge%20Rd,301,not imported — specialty and town
/england/london/gynaecology/adam-rosenthal,/specialists/adam-rosenthal,301,live listing
/england/london/gynaecology/ahmad-sayasneh,/specialists/ahmad-sayasneh,301,live listing
/england/london/gynaecology/berrin-tezcan,/specialists/berrin-tezcan,301,live listing
/england/london/gynaecology/chukwuemeka-okaro,/specialists/chukwuemeka-okaro,301,live listing
/england/london/gynaecology/denis-tsepov,/specialists/denis-tsepov,301,live listing
/england/london/gynaecology/giada-frontino,/specialists/giada-frontino,301,live listing
/england/london/gynaecology/hemant-vakharia,/specialists/hemant-vakharia,301,live listing
/england/london/gynaecology/joseph-aquilina,/specialists/joseph-aquilina,301,live listing
/england/london/gynaecology/meg-wilson,/specialists/meg-wilson,301,live listing
/england/london/gynaecology/mer-raza,/specialists/mer-raza,301,live listing
/england/london/gynaecology/miss-dana-touqmatchi,/specialists/miss-dana-touqmatchi,301,live listing
/england/london/gynaecology/mr-saurabh-phadnis,/specialists/mr-saurabh-phadnis,301,live listing
/england/london/gynaecology/ms-ferha-saeed,/specialists/ms-ferha-saeed,301,live listing
/england/london/gynaecology/pradnya-pisal,/specialists/pradnya-pisal,301,live listing
/england/london/gynaecology/rhonda-flemming,/specialists/rhonda-flemming,301,live listing
/england/london/gynaecology/shaheen-khazali,/specialists/shaheen-khazali,301,live listing
/england/london/gynaecology/shazia-malik,/specialists/shazia-malik,301,live listing
/england/london/gynaecology/tania-adib,/specialists/tania-adib,301,live listing
/england/london/orthopaedics/abhinav-gulihar,/specialists/abhinav-gulihar,301,live listing
/england/london/orthopaedics/amit-amin,/specialists/amit-amin,301,live listing
/england/london/orthopaedics/andrew-goldberg-obe,/specialists/andrew-goldberg-obe,301,live listing
/england/london/orthopaedics/arjuna-imbuldeniya,/specialists/arjuna-imbuldeniya,301,live listing
/england/london/orthopaedics/baljinder-singh-dhinsa,/specialists/baljinder-singh-dhinsa,301,live listing
/england/london/orthopaedics/bob-chatterjee,/specialists/bob-chatterjee,301,live listing
/england/london/orthopaedics/deepu-sethi,/specialists/deepu-sethi,301,live listing
/england/london/orthopaedics/fady-sedra,/specialists/fady-sedra,301,live listing
/england/london/orthopaedics/francesc-malagelada,/specialists/francesc-malagelada,301,live listing
/england/london/orthopaedics/henry-colaco,/specialists/henry-colaco,301,live listing
/england/london/orthopaedics/james-white,/specialists/james-white,301,live listing
/england/london/orthopaedics/jignesh-patel,/specialists/jignesh-patel,301,live listing
/england/london/orthopaedics/mohamed-imam,/specialists/mohamed-imam,301,live listing
/england/london/orthopaedics/nicholas-ferran,/specialists/nicholas-ferran,301,live listing
/england/london/orthopaedics/panagiotis-liantis,/specialists/panagiotis-liantis,301,live listing
/england/london/orthopaedics/rob-pollock,/specialists/rob-pollock,301,live listing
/england/london/orthopaedics/rohit-madhav,/specialists/rohit-madhav,301,live listing
/england/london/orthopaedics/sammy-hanna,/specialists/sammy-hanna,301,live listing
/england/london/orthopaedics/syed-aftab,/specialists/syed-aftab,301,live listing
/england/london/orthopaedics/tarun-taneja,/specialists/tarun-taneja,301,live listing
/england/london/orthopaedics/zameer-shah,/specialists/zameer-shah,301,live listing
/england/orthopaedic-surgeon/dr-ronald-van-heerwaarden,/specialists/dr-ronald-van-heerwaarden,301,live listing
/england/orthopaedic-surgeon/dr-simon-v-ball,/specialists/dr-simon-v-ball,301,live listing
/england/orthopaedic-surgeon/miss-valerie-nu-ez,/specialists/miss-valerie-nu-ez,301,live listing
/england/orthopaedic-surgeon/mr-abdul-gaffar-dudhniwala,/specialists/mr-abdul-gaffar-dudhniwala,301,live listing
/england/orthopaedic-surgeon/mr-ajit-garde,/specialists/mr-ajit-garde,301,live listing
/england/orthopaedic-surgeon/mr-alan-groom,/specialists/mr-alan-groom,301,live listing
/england/orthopaedic-surgeon/mr-alwyn-abraham,/specialists/mr-alwyn-abraham,301,live listing
/england/orthopaedic-surgeon/mr-andrew-hilton,/specialists/mr-andrew-hilton,301,live listing
/england/orthopaedic-surgeon/mr-andrew-unwin,/specialists/mr-andrew-unwin,301,live listing
