# How each leaf of the specialty tree is treated by
# scripts/derive-treatments.mjs: is it something a patient HAS, or
# something a clinician DOES?
#
# The kinds below were produced by a keyword rule and it is wrong in
# places. Correct a row here and the correction wins, permanently.
# kind: treatment | condition | skip
#
# matchesOn is what the scanner actually looks for in a description.
#
slug,kind,name,branch,matchesOn
shoulder-pain,condition,Shoulder Pain,orthopaedics,Shoulder Pain
shoulder-arthritis,condition,Shoulder Arthritis,orthopaedics,Shoulder Arthritis
shoulder-replacement,treatment,Shoulder Replacement,orthopaedics,Shoulder Replacement
anatomic-shoulder-replacement,treatment,Anatomic Shoulder Replacement,orthopaedics,Anatomic Shoulder Replacement
reverse-shoulder-replacement,treatment,Reverse Shoulder Replacement,orthopaedics,Reverse Shoulder Replacement
revision-shoulder-replacement,treatment,Revision Shoulder Replacement,orthopaedics,Revision Shoulder Replacement
rotator-cuff-tear,condition,Rotator Cuff Tear,orthopaedics,Rotator Cuff Tear
rotator-cuff-repair,treatment,Rotator Cuff Repair,orthopaedics,Rotator Cuff Repair
shoulder-impingement,condition,Shoulder Impingement,orthopaedics,Shoulder Impingement
subacromial-decompression,treatment,Subacromial Decompression,orthopaedics,Subacromial Decompression
frozen-shoulder,condition,Frozen Shoulder,orthopaedics,Frozen Shoulder
shoulder-instability,condition,Shoulder Instability,orthopaedics,Shoulder Instability
shoulder-dislocation,condition,Shoulder Dislocation,orthopaedics,Shoulder Dislocation
labral-tear,condition,Labral Tear,orthopaedics,Labral Tear
slap-tear,condition,SLAP Tear,orthopaedics,SLAP Tear
ac-joint-injury-arthritis,condition,AC Joint Injury / Arthritis,orthopaedics,AC Joint Injury | AC Joint Arthritis
biceps-tendon-injury,condition,Biceps Tendon Injury,orthopaedics,Biceps Tendon Injury
shoulder-arthroscopy,treatment,Shoulder Arthroscopy,orthopaedics,Shoulder Arthroscopy
calcific-tendinitis,condition,Calcific Tendinitis,orthopaedics,Calcific Tendinitis
shoulder-and-elbow-sports-shoulder-injury,condition,Sports Shoulder Injury,orthopaedics,Sports Shoulder Injury
shoulder-injection,treatment,Shoulder Injection,orthopaedics,Shoulder Injection
elbow-arthritis,condition,Elbow Arthritis,orthopaedics,Elbow Arthritis
tennis-elbow,condition,Tennis Elbow,orthopaedics,Tennis Elbow
golfers-elbow,condition,Golfer's Elbow,orthopaedics,Golfer's Elbow
elbow-arthroscopy,treatment,Elbow Arthroscopy,orthopaedics,Elbow Arthroscopy
elbow-replacement,treatment,Elbow Replacement,orthopaedics,Elbow Replacement
distal-biceps-rupture,condition,Distal Biceps Rupture,orthopaedics,Distal Biceps Rupture
triceps-tendon-injury,condition,Triceps Tendon Injury,orthopaedics,Triceps Tendon Injury
ulnar-nerve-cubital-tunnel-syndrome,condition,Ulnar Nerve / Cubital Tunnel Syndrome,orthopaedics,Ulnar Nerve | Cubital Tunnel Syndrome
shoulder-and-elbow-elbow-fracture,condition,Elbow Fracture,orthopaedics,Elbow Fracture
foot-and-ankle-arthritis,condition,Foot & Ankle Arthritis,orthopaedics,Foot & Ankle Arthritis
ankle-arthritis,condition,Ankle Arthritis,orthopaedics,Ankle Arthritis
ankle-replacement,treatment,Ankle Replacement,orthopaedics,Ankle Replacement
ankle-fusion,treatment,Ankle Fusion,orthopaedics,Ankle Fusion
ankle-arthroscopy,treatment,Ankle Arthroscopy,orthopaedics,Ankle Arthroscopy
ankle-instability,condition,Ankle Instability,orthopaedics,Ankle Instability
ankle-ligament-injury,condition,Ankle Ligament Injury,orthopaedics,Ankle Ligament Injury
achilles-tendon-rupture,condition,Achilles Tendon Rupture,orthopaedics,Achilles Tendon Rupture
achilles-tendinopathy,condition,Achilles Tendinopathy,orthopaedics,Achilles Tendinopathy
plantar-fasciitis,condition,Plantar Fasciitis,orthopaedics,Plantar Fasciitis
bunion-hallux-valgus,condition,Bunion / Hallux Valgus,orthopaedics,Bunion | Hallux Valgus
hallux-rigidus,condition,Hallux Rigidus,orthopaedics,Hallux Rigidus
hammer-toe,condition,Hammer Toe,orthopaedics,Hammer Toe
flat-foot,condition,Flat Foot,orthopaedics,Flat Foot
cavus-foot,condition,Cavus Foot,orthopaedics,Cavus Foot
mortons-neuroma,condition,Morton's Neuroma,orthopaedics,Morton's Neuroma
metatarsalgia,condition,Metatarsalgia,orthopaedics,Metatarsalgia
foot-and-ankle-sports-foot-and-ankle-injury,condition,Sports Foot & Ankle Injury,orthopaedics,Sports Foot & Ankle Injury
foot-and-ankle-ankle-fracture,condition,Ankle Fracture,orthopaedics,Ankle Fracture
foot-and-ankle-foot-fracture,condition,Foot Fracture,orthopaedics,Foot Fracture
cartilage-injury-of-ankle,condition,Cartilage Injury of Ankle,orthopaedics,Cartilage Injury of Ankle
foot-and-ankle-injection,treatment,Foot & Ankle Injection,orthopaedics,Foot & Ankle Injection
carpal-tunnel-syndrome,condition,Carpal Tunnel Syndrome,orthopaedics,Carpal Tunnel Syndrome
trigger-finger,condition,Trigger Finger,orthopaedics,Trigger Finger
dupuytrens-contracture,condition,Dupuytren's Contracture,orthopaedics,Dupuytren's Contracture
hand-arthritis,condition,Hand Arthritis,orthopaedics,Hand Arthritis
thumb-base-arthritis,condition,Thumb Base Arthritis,orthopaedics,Thumb Base Arthritis
wrist-arthritis,condition,Wrist Arthritis,orthopaedics,Wrist Arthritis
