# How each leaf of the specialty tree is treated by
# scripts/derive-treatments.mjs: is it something a patient HAS, or
# something a clinician DOES?
#
# The kinds below were produced by a keyword rule and it is wrong in
# places. Correct a row here and the correction wins, permanently.
# kind: treatment | condition | skip
#
# matchesOn is what the scanner actually looks for in a description.
#
slug,kind,name,branch,matchesOn
tear-trough-treatment,treatment,Tear Trough Treatment,aesthetics-specialists,Tear Trough Treatment
facial-rejuvenation,condition,Facial Rejuvenation,aesthetics-specialists,Facial Rejuvenation
chemical-peels,condition,Chemical Peels,aesthetics-specialists,Chemical Peels
microneedling,treatment,Microneedling,aesthetics-specialists,Microneedling
skin-rejuvenation,condition,Skin Rejuvenation,aesthetics-specialists,Skin Rejuvenation
acne-treatment,treatment,Acne Treatment,aesthetics-specialists,Acne Treatment
acne-scar-treatment,treatment,Acne Scar Treatment,aesthetics-specialists,Acne Scar Treatment
pigmentation-treatment,treatment,Pigmentation Treatment,aesthetics-specialists,Pigmentation Treatment
rosacea-treatment,treatment,Rosacea Treatment,aesthetics-specialists,Rosacea Treatment
skin-tightening,condition,Skin Tightening,aesthetics-specialists,Skin Tightening
laser-hair-removal,treatment,Laser Hair Removal,aesthetics-specialists,Laser Hair Removal
laser-skin-resurfacing,condition,Laser Skin Resurfacing,aesthetics-specialists,Laser Skin Resurfacing
ipl-treatment,treatment,IPL Treatment,aesthetics-specialists,IPL Treatment
radiofrequency-skin-tightening,condition,Radiofrequency Skin Tightening,aesthetics-specialists,Radiofrequency Skin Tightening
ultrasound-skin-tightening,treatment,Ultrasound Skin Tightening,aesthetics-specialists,Ultrasound Skin Tightening
prp-hair-treatment,treatment,PRP Hair Treatment,aesthetics-specialists,PRP Hair Treatment
hair-loss-assessment,treatment,Hair Loss Assessment,aesthetics-specialists,Hair Loss Assessment
hair-restoration,condition,Hair Restoration,aesthetics-specialists,Hair Restoration
regenerative-skin-treatment,treatment,Regenerative Skin Treatment,aesthetics-specialists,Regenerative Skin Treatment
non-surgical-body-contouring,treatment,Non-surgical Body Contouring,aesthetics-specialists,Non-surgical Body Contouring
fat-reduction,treatment,Fat Reduction,aesthetics-specialists,Fat Reduction
cellulite-treatment,treatment,Cellulite Treatment,aesthetics-specialists,Cellulite Treatment
body-skin-tightening,condition,Body Skin Tightening,aesthetics-specialists,Body Skin Tightening
facelift,condition,Facelift,aesthetics-specialists,Facelift
neck-lift,treatment,Neck Lift,aesthetics-specialists,Neck Lift
blepharoplasty,treatment,Blepharoplasty,aesthetics-specialists,Blepharoplasty
rhinoplasty,treatment,Rhinoplasty,aesthetics-specialists,Rhinoplasty
brow-lift,treatment,Brow Lift,aesthetics-specialists,Brow Lift
breast-augmentation,treatment,Breast Augmentation,aesthetics-specialists,Breast Augmentation
breast-reduction,treatment,Breast Reduction,aesthetics-specialists,Breast Reduction
breast-lift,treatment,Breast Lift,aesthetics-specialists,Breast Lift
abdominoplasty,treatment,Abdominoplasty,aesthetics-specialists,Abdominoplasty
liposuction,treatment,Liposuction,aesthetics-specialists,Liposuction
body-lift,treatment,Body Lift,aesthetics-specialists,Body Lift
arm-lift,treatment,Arm Lift,aesthetics-specialists,Arm Lift
thigh-lift,treatment,Thigh Lift,aesthetics-specialists,Thigh Lift
acne,condition,Acne,aesthetics-specialists,Acne
rosacea,condition,Rosacea,aesthetics-specialists,Rosacea
eczema-dermatitis,condition,Eczema & Dermatitis,aesthetics-specialists,Eczema & Dermatitis
psoriasis,condition,Psoriasis,aesthetics-specialists,Psoriasis
mole-check,condition,Mole Check,aesthetics-specialists,Mole Check
skin-cancer-screening,treatment,Skin Cancer Screening,aesthetics-specialists,Skin Cancer Screening
hair-loss-scalp-disorders,condition,Hair Loss & Scalp Disorders,aesthetics-specialists,Hair Loss & Scalp Disorders
nail-disorders,condition,Nail Disorders,aesthetics-specialists,Nail Disorders
skin-surgery,treatment,Skin Surgery,aesthetics-specialists,Skin Surgery
warts-verrucas,condition,Warts & Verrucas,aesthetics-specialists,Warts & Verrucas
vitiligo,condition,Vitiligo,aesthetics-specialists,Vitiligo
skin-allergy-testing,condition,Skin Allergy Testing,aesthetics-specialists,Skin Allergy Testing
aesthetic-consultation,condition,Aesthetic Consultation,aesthetics-specialists,Aesthetic Consultation
non-surgical-aesthetics,treatment,Non-surgical Aesthetics,aesthetics-specialists,Non-surgical Aesthetics
skin-assessment,treatment,Skin Assessment,aesthetics-specialists,Skin Assessment
nasal-obstruction,condition,Nasal Obstruction,ent,Nasal Obstruction
deviated-nasal-septum,condition,Deviated Nasal Septum,ent,Deviated Nasal Septum
septoplasty,treatment,Septoplasty,ent,Septoplasty
sinusitis,condition,Sinusitis,ent,Sinusitis
chronic-sinusitis,condition,Chronic Sinusitis,ent,Chronic Sinusitis
functional-endoscopic-sinus-surgery,treatment,Functional Endoscopic Sinus Surgery,ent,Functional Endoscopic Sinus Surgery
nasal-polyps,condition,Nasal Polyps,ent,Nasal Polyps
nosebleeds,condition,Nosebleeds,ent,Nosebleeds
loss-of-smell,condition,Loss of Smell,ent,Loss of Smell
rhinitis,condition,Rhinitis,ent,Rhinitis
hearing-loss,condition,Hearing Loss,ent,Hearing Loss
ear-infection,condition,Ear Infection,ent,Ear Infection
tinnitus,condition,Tinnitus,ent,Tinnitus
ear-wax,condition,Ear Wax,ent,Ear Wax
perforated-eardrum,condition,Perforated Eardrum,ent,Perforated Eardrum
cholesteatoma,condition,Cholesteatoma,ent,Cholesteatoma
otosclerosis,condition,Otosclerosis,ent,Otosclerosis
ear-surgery,treatment,Ear Surgery,ent,Ear Surgery
grommets,condition,Grommets,ent,Grommets
balance-vertigo,condition,Balance / Vertigo,ent,
throat-and-voice-sore-throat,condition,Sore Throat,ent,Sore Throat
tonsillitis,condition,Tonsillitis,ent,Tonsillitis
tonsillectomy,treatment,Tonsillectomy,ent,Tonsillectomy
swallowing-problems,condition,Swallowing Problems,ent,Swallowing Problems
hoarseness,condition,Hoarseness,ent,Hoarseness
voice-disorders,condition,Voice Disorders,ent,Voice Disorders
vocal-cord-disorders,condition,Vocal Cord Disorders,ent,Vocal Cord Disorders
reflux-related-throat-symptoms,condition,Reflux-related Throat Symptoms,ent,Reflux-related Throat Symptoms
neck-lump,condition,Neck Lump,ent,Neck Lump
salivary-gland-disorders,condition,Salivary Gland Disorders,ent,Salivary Gland Disorders
thyroid-lump,condition,Thyroid Lump,ent,Thyroid Lump
head-and-neck-cancer,condition,Head & Neck Cancer,ent,Head & Neck Cancer
oral-throat-lesions,condition,Oral / Throat Lesions,ent,Throat Lesions
childrens-ear-infections,condition,Children's Ear Infections,ent,Children's Ear Infections
glue-ear,condition,Glue Ear,ent,Glue Ear
grommets-in-children,condition,Grommets in Children,ent,Grommets in Children
adenoid-problems,condition,Adenoid Problems,ent,Adenoid Problems
adenoidectomy,treatment,Adenoidectomy,ent,Adenoidectomy
tonsil-problems-in-children,condition,Tonsil Problems in Children,ent,Tonsil Problems in Children
paediatric-snoring-sleep-apnoea,condition,Paediatric Snoring / Sleep Apnoea,ent,Paediatric Snoring | Sleep Apnoea
snoring,condition,Snoring,ent,Snoring
obstructive-sleep-apnoea,condition,Obstructive Sleep Apnoea,ent,Obstructive Sleep Apnoea
nasal-airway-assessment,treatment,Nasal Airway Assessment,ent,Nasal Airway Assessment
sleep-related-ent-surgery,treatment,Sleep-related ENT Surgery,ent,Sleep-related ENT Surgery
general-ent-assessment,treatment,General ENT Assessment,ent,General ENT Assessment
ear-nose-and-throat-consultation,condition,Ear Nose and Throat Consultation,ent,Ear Nose and Throat Consultation
ent-follow-up,condition,ENT Follow-up,ent,ENT Follow-up
pelvic-pain,condition,Pelvic Pain,gynaecology,Pelvic Pain
heavy-periods,condition,Heavy Periods,gynaecology,Heavy Periods
irregular-periods,condition,Irregular Periods,gynaecology,Irregular Periods
abnormal-bleeding,condition,Abnormal Bleeding,gynaecology,Abnormal Bleeding
vaginal-discharge,condition,Vaginal Discharge,gynaecology,Vaginal Discharge
gynaecological-check-up,condition,Gynaecological Check-up,gynaecology,Gynaecological Check-up
menopause-assessment,treatment,Menopause Assessment,gynaecology,Menopause Assessment
perimenopause,condition,Perimenopause,gynaecology,Perimenopause
menopause-management,condition,Menopause Management,gynaecology,Menopause Management
hrt-consultation,condition,HRT Consultation,gynaecology,HRT Consultation
postmenopausal-bleeding,condition,Postmenopausal Bleeding,gynaecology,Postmenopausal Bleeding
genitourinary-syndrome-of-menopause,condition,Genitourinary Syndrome of Menopause,gynaecology,Genitourinary Syndrome of Menopause
endometriosis,condition,Endometriosis,gynaecology,Endometriosis
adenomyosis,condition,Adenomyosis,gynaecology,Adenomyosis
chronic-pelvic-pain,condition,Chronic Pelvic Pain,gynaecology,Chronic Pelvic Pain
laparoscopy-for-endometriosis,treatment,Laparoscopy for Endometriosis,gynaecology,Laparoscopy for Endometriosis
fibroids,condition,Fibroids,gynaecology,Fibroids
myomectomy,treatment,Myomectomy,gynaecology,Myomectomy
uterine-polyps,condition,Uterine Polyps,gynaecology,Uterine Polyps
hysteroscopy,treatment,Hysteroscopy,gynaecology,Hysteroscopy
hysterectomy,treatment,Hysterectomy,gynaecology,Hysterectomy
ovarian-cyst,condition,Ovarian Cyst,gynaecology,Ovarian Cyst
polycystic-ovary-syndrome-pcos,condition,Polycystic Ovary Syndrome (PCOS),gynaecology,Polycystic Ovary Syndrome (PCOS)
ovarian-mass-assessment,treatment,Ovarian Mass Assessment,gynaecology,Ovarian Mass Assessment
laparoscopic-ovarian-surgery,treatment,Laparoscopic Ovarian Surgery,gynaecology,Laparoscopic Ovarian Surgery
fertility-assessment,treatment,Fertility Assessment,gynaecology,Fertility Assessment
subfertility,condition,Subfertility,gynaecology,Subfertility
preconception-advice,condition,Preconception Advice,gynaecology,Preconception Advice
reproductive-health-assessment,treatment,Reproductive Health Assessment,gynaecology,Reproductive Health Assessment
urinary-incontinence,condition,Urinary Incontinence,gynaecology,Urinary Incontinence
pelvic-organ-prolapse,condition,Pelvic Organ Prolapse,gynaecology,Pelvic Organ Prolapse
overactive-bladder,condition,Overactive Bladder,gynaecology,Overactive Bladder
pelvic-floor-disorders,condition,Pelvic Floor Disorders,gynaecology,Pelvic Floor Disorders
abnormal-cervical-smear,condition,Abnormal Cervical Smear,gynaecology,Abnormal Cervical Smear
colposcopy,treatment,Colposcopy,gynaecology,Colposcopy
hpv-related-cervical-changes,condition,HPV-related Cervical Changes,gynaecology,HPV-related Cervical Changes
vulval-disorders,condition,Vulval Disorders,gynaecology,Vulval Disorders
vulval-pain,condition,Vulval Pain,gynaecology,Vulval Pain
ovarian-cancer,condition,Ovarian Cancer,gynaecology,Ovarian Cancer
endometrial-cancer,condition,Endometrial Cancer,gynaecology,Endometrial Cancer
cervical-cancer,condition,Cervical Cancer,gynaecology,Cervical Cancer
vulval-cancer,condition,Vulval Cancer,gynaecology,Vulval Cancer
gynaecological-cancer-assessment,treatment,Gynaecological Cancer Assessment,gynaecology,Gynaecological Cancer Assessment
generalised-anxiety-disorder,condition,Generalised Anxiety Disorder,psychology,Generalised Anxiety Disorder
panic-attacks,condition,Panic Attacks,psychology,Panic Attacks
social-anxiety,condition,Social Anxiety,psychology,Social Anxiety
phobias,condition,Phobias,psychology,Phobias
health-anxiety,condition,Health Anxiety,psychology,Health Anxiety
work-related-stress,condition,Work-related Stress,psychology,Work-related Stress
burnout,condition,Burnout,psychology,Burnout
depression,condition,Depression,psychology,Depression
low-mood,condition,Low Mood,psychology,Low Mood
bipolar-disorder,condition,Bipolar Disorder,psychology,Bipolar Disorder
seasonal-affective-disorder,condition,Seasonal Affective Disorder,psychology,Seasonal Affective Disorder
postnatal-depression,condition,Postnatal Depression,psychology,Postnatal Depression
post-traumatic-stress-disorder,condition,Post-traumatic Stress Disorder,psychology,Post-traumatic Stress Disorder
complex-ptsd,condition,Complex PTSD,psychology,Complex PTSD
emdr,condition,EMDR,psychology,EMDR
childhood-trauma,condition,Childhood Trauma,psychology,Childhood Trauma
bereavement-grief,condition,Bereavement & Grief,psychology,Bereavement & Grief
couples-therapy,treatment,Couples Therapy,psychology,Couples Therapy
family-therapy,treatment,Family Therapy,psychology,Family Therapy
relationship-counselling,treatment,Relationship Counselling,psychology,Relationship Counselling
separation-divorce,condition,Separation & Divorce,psychology,Separation & Divorce
parenting-support,condition,Parenting Support,psychology,Parenting Support
child-therapy,treatment,Child Therapy,psychology,Child Therapy
adolescent-therapy,treatment,Adolescent Therapy,psychology,Adolescent Therapy
adhd-assessment,treatment,ADHD Assessment,psychology,ADHD Assessment
autism-assessment,treatment,Autism Assessment,psychology,Autism Assessment
behavioural-difficulties,condition,Behavioural Difficulties,psychology,Behavioural Difficulties
school-refusal,condition,School Refusal,psychology,School Refusal
cognitive-behavioural-therapy,treatment,Cognitive Behavioural Therapy,psychology,Cognitive Behavioural Therapy
dialectical-behaviour-therapy,treatment,Dialectical Behaviour Therapy,psychology,Dialectical Behaviour Therapy
acceptance-commitment-therapy,treatment,Acceptance & Commitment Therapy,psychology,Acceptance & Commitment Therapy
psychodynamic-therapy,treatment,Psychodynamic Therapy,psychology,Psychodynamic Therapy
person-centred-counselling,treatment,Person-centred Counselling,psychology,Person-centred Counselling
integrative-therapy,treatment,Integrative Therapy,psychology,Integrative Therapy
hypnotherapy,treatment,Hypnotherapy,psychology,Hypnotherapy
cognitive-assessment,treatment,Cognitive Assessment,psychology,Cognitive Assessment
memory-assessment,treatment,Memory Assessment,psychology,Memory Assessment
brain-injury-rehabilitation,treatment,Brain Injury Rehabilitation,psychology,Brain Injury Rehabilitation
dementia-assessment,treatment,Dementia Assessment,psychology,Dementia Assessment
occupational-psychology,condition,Occupational Psychology,psychology,Occupational Psychology
executive-coaching,condition,Executive Coaching,psychology,Executive Coaching
sports-psychology,condition,Sports Psychology,psychology,Sports Psychology
stress-management,condition,Stress Management,psychology,Stress Management
general-counselling,treatment,General Counselling,psychology,General Counselling
individual-therapy,treatment,Individual Therapy,psychology,Individual Therapy
talking-therapy,treatment,Talking Therapy,psychology,Talking Therapy
mental-health-assessment,treatment,Mental Health Assessment,psychology,Mental Health Assessment
wellbeing-support,condition,Wellbeing Support,psychology,Wellbeing Support
same-day-gp-appointment,condition,Same-day GP Appointment,general-practice,Same-day GP Appointment
video-consultation,condition,Video Consultation,general-practice,Video Consultation
gp-home-visit,condition,GP Home Visit,general-practice,GP Home Visit
repeat-prescriptions,condition,Repeat Prescriptions,general-practice,Repeat Prescriptions
medical-letters-sick-notes,condition,Medical Letters & Sick Notes,general-practice,Medical Letters & Sick Notes
full-health-check,condition,Full Health Check,general-practice,Full Health Check
private-blood-tests,condition,Private Blood Tests,general-practice,Private Blood Tests
well-man-check,condition,Well Man Check,general-practice,Well Man Check
well-woman-check,condition,Well Woman Check,general-practice,Well Woman Check
cardiac-screening,treatment,Cardiac Screening,general-practice,Cardiac Screening
travel-vaccinations,treatment,Travel Vaccinations,general-practice,Travel Vaccinations
yellow-fever-vaccination,treatment,Yellow Fever Vaccination,general-practice,Yellow Fever Vaccination
malaria-prevention,condition,Malaria Prevention,general-practice,Malaria Prevention
travel-health-advice,condition,Travel Health Advice,general-practice,Travel Health Advice
flu-vaccination,treatment,Flu Vaccination,general-practice,Flu Vaccination
childhood-immunisations,condition,Childhood Immunisations,general-practice,Childhood Immunisations
hpv-vaccination,treatment,HPV Vaccination,general-practice,HPV Vaccination
shingles-vaccination,treatment,Shingles Vaccination,general-practice,Shingles Vaccination
sti-testing,condition,STI Testing,general-practice,STI Testing
contraception,condition,Contraception,general-practice,Contraception
coil-implant-fitting,treatment,Coil & Implant Fitting,general-practice,Coil & Implant Fitting
sexual-health-screening,treatment,Sexual Health Screening,general-practice,Sexual Health Screening
prostate-screening,treatment,Prostate Screening,general-practice,Prostate Screening
testosterone-testing,condition,Testosterone Testing,general-practice,Testosterone Testing
erectile-dysfunction,condition,Erectile Dysfunction,general-practice,Erectile Dysfunction
male-fertility-testing,condition,Male Fertility Testing,general-practice,Male Fertility Testing
cervical-screening,treatment,Cervical Screening,general-practice,Cervical Screening
menopause-advice,condition,Menopause Advice,general-practice,Menopause Advice
contraception-advice,condition,Contraception Advice,general-practice,Contraception Advice
breast-examination,condition,Breast Examination,general-practice,Breast Examination
mole-cyst-removal,treatment,Mole & Cyst Removal,general-practice,Mole & Cyst Removal
skin-tag-removal,treatment,Skin Tag Removal,general-practice,Skin Tag Removal
joint-injections,treatment,Joint Injections,general-practice,Joint Injections
ingrown-toenail-surgery,treatment,Ingrown Toenail Surgery,general-practice,Ingrown Toenail Surgery
pre-employment-medical,condition,Pre-employment Medical,general-practice,Pre-employment Medical
fitness-to-work-assessment,treatment,Fitness to Work Assessment,general-practice,Fitness to Work Assessment
driver-medical,condition,Driver Medical,general-practice,Driver Medical
health-surveillance,condition,Health Surveillance,general-practice,Health Surveillance
spinal-cord-tumours,condition,Spinal Cord Tumours,neurosurgery,Spinal Cord Tumours
spinal-cord-stimulation,condition,Spinal Cord Stimulation,neurosurgery,Spinal Cord Stimulation
cauda-equina-syndrome,condition,Cauda Equina Syndrome,neurosurgery,Cauda Equina Syndrome
syringomyelia,condition,Syringomyelia,neurosurgery,Syringomyelia
cervical-myelopathy,condition,Cervical Myelopathy,neurosurgery,Cervical Myelopathy
spinal-cord-injury,condition,Spinal Cord Injury,neurosurgery,Spinal Cord Injury
glioma-surgery,treatment,Glioma Surgery,neurosurgery,Glioma Surgery
meningioma-surgery,treatment,Meningioma Surgery,neurosurgery,Meningioma Surgery
pituitary-surgery,treatment,Pituitary Surgery,neurosurgery,Pituitary Surgery
awake-craniotomy,treatment,Awake Craniotomy,neurosurgery,Awake Craniotomy
deep-brain-stimulation,condition,Deep Brain Stimulation,neurosurgery,Deep Brain Stimulation
epilepsy-surgery,treatment,Epilepsy Surgery,neurosurgery,Epilepsy Surgery
trigeminal-neuralgia,condition,Trigeminal Neuralgia,neurosurgery,Trigeminal Neuralgia
movement-disorder-surgery,treatment,Movement Disorder Surgery,neurosurgery,Movement Disorder Surgery
carpal-tunnel-release,treatment,Carpal Tunnel Release,neurosurgery,Carpal Tunnel Release
ulnar-nerve-decompression,treatment,Ulnar Nerve Decompression,neurosurgery,Ulnar Nerve Decompression
nerve-repair,treatment,Nerve Repair,neurosurgery,Nerve Repair
peripheral-nerve-tumours,condition,Peripheral Nerve Tumours,neurosurgery,Peripheral Nerve Tumours
aneurysm-surgery,treatment,Aneurysm Surgery,neurosurgery,Aneurysm Surgery
arteriovenous-malformation,condition,Arteriovenous Malformation,neurosurgery,Arteriovenous Malformation
cavernoma-surgery,treatment,Cavernoma Surgery,neurosurgery,Cavernoma Surgery
shunt-surgery,treatment,Shunt Surgery,neurosurgery,Shunt Surgery
endoscopic-third-ventriculostomy,condition,Endoscopic Third Ventriculostomy,neurosurgery,Endoscopic Third Ventriculostomy
chiari-malformation,condition,Chiari Malformation,neurosurgery,Chiari Malformation
craniosynostosis,condition,Craniosynostosis,neurosurgery,Craniosynostosis
paediatric-hydrocephalus,condition,Paediatric Hydrocephalus,neurosurgery,Paediatric Hydrocephalus
spina-bifida,condition,Spina Bifida,neurosurgery,Spina Bifida
paediatric-brain-tumours,condition,Paediatric Brain Tumours,neurosurgery,Paediatric Brain Tumours
traumatic-brain-injury,condition,Traumatic Brain Injury,neurosurgery,Traumatic Brain Injury
skull-fracture,condition,Skull Fracture,neurosurgery,Skull Fracture
chronic-subdural-haematoma,condition,Chronic Subdural Haematoma,neurosurgery,Chronic Subdural Haematoma
neurosurgical-assessment,treatment,Neurosurgical Assessment,neurosurgery,Neurosurgical Assessment
neurosurgical-follow-up,treatment,Neurosurgical Follow-up,neurosurgery,Neurosurgical Follow-up
childhood-infections,condition,Childhood Infections,paediatrics,Childhood Infections
growth-development,condition,Growth & Development,paediatrics,Growth & Development
feeding-difficulties,condition,Feeding Difficulties,paediatrics,Feeding Difficulties
persistent-childhood-fever,condition,Persistent Childhood Fever,paediatrics,Persistent Childhood Fever
congenital-heart-disease,condition,Congenital Heart Disease,paediatrics,Congenital Heart Disease
heart-murmur,condition,Heart Murmur,paediatrics,Heart Murmur
paediatric-arrhythmia,condition,Paediatric Arrhythmia,paediatrics,Paediatric Arrhythmia
kawasaki-disease,condition,Kawasaki Disease,paediatrics,Kawasaki Disease
childhood-asthma,condition,Childhood Asthma,paediatrics,Childhood Asthma
bronchiolitis,condition,Bronchiolitis,paediatrics,Bronchiolitis
chronic-cough-in-children,condition,Chronic Cough in Children,paediatrics,Chronic Cough in Children
sleep-disordered-breathing,condition,Sleep-disordered Breathing,paediatrics,Sleep-disordered Breathing
infant-reflux,condition,Infant Reflux,paediatrics,Infant Reflux
childhood-constipation,condition,Childhood Constipation,paediatrics,Childhood Constipation
coeliac-disease,condition,Coeliac Disease,paediatrics,Coeliac Disease
paediatric-inflammatory-bowel-disease,condition,Paediatric Inflammatory Bowel Disease,paediatrics,Paediatric Inflammatory Bowel Disease
food-allergy,condition,Food Allergy,paediatrics,Food Allergy
allergic-eczema,condition,Allergic Eczema,paediatrics,Allergic Eczema
hay-fever-in-children,condition,Hay Fever in Children,paediatrics,Hay Fever in Children
anaphylaxis,condition,Anaphylaxis,paediatrics,Anaphylaxis
allergy-testing,condition,Allergy Testing,paediatrics,Allergy Testing
childhood-epilepsy,condition,Childhood Epilepsy,paediatrics,Childhood Epilepsy
headache-migraine-in-children,condition,Headache & Migraine in Children,paediatrics,Headache & Migraine in Children
developmental-delay,condition,Developmental Delay,paediatrics,Developmental Delay
cerebral-palsy,condition,Cerebral Palsy,paediatrics,Cerebral Palsy
growth-disorders,condition,Growth Disorders,paediatrics,Growth Disorders
type-1-diabetes,condition,Type 1 Diabetes,paediatrics,Type 1 Diabetes
paediatric-thyroid-disorders,condition,Paediatric Thyroid Disorders,paediatrics,Paediatric Thyroid Disorders
early-puberty,condition,Early Puberty,paediatrics,Early Puberty
newborn-check,condition,Newborn Check,paediatrics,Newborn Check
prematurity-follow-up,condition,Prematurity Follow-up,paediatrics,Prematurity Follow-up
neonatal-jaundice,condition,Neonatal Jaundice,paediatrics,Neonatal Jaundice
newborn-feeding-support,condition,Newborn Feeding Support,paediatrics,Newborn Feeding Support
childhood-eczema,condition,Childhood Eczema,paediatrics,Childhood Eczema
birthmarks,condition,Birthmarks,paediatrics,Birthmarks
childhood-rashes,condition,Childhood Rashes,paediatrics,Childhood Rashes
paediatric-acne,condition,Paediatric Acne,paediatrics,Paediatric Acne
